,PSJudge,avgEVC,avgSD,elle,files,groupId,il,ils,je,keywords,le,nous,perNeg,perNegDoc,perPos,perPosDoc,pronounFrac,timeRun,vous,groupName,rank,rfPred,rfClassPred,svmPred,svmClassPred,ensemble2pred
70,0.447115384615,0.526101756602,0.643022915454,0.00655200655201,1,TrumpRemarks_test6,0.001092001092,0.00819000819001,0.010647010647,"job, tax, clinton, hillari, will, detroit, regul, dollar, obama, worker, pay, cost, obamaclinton, labor, trillion",0.00846300846301,0.031122031122,0.017745017745,0.0,0.024297024297,1.0,0.682692307692,4.79765486717,0.004641004641,TrumpRemarks,7,6.37666666667,7,6.08963406091,7,7
66,0.283464566929,0.648200934947,0.689519604963,0.0068697046027,1,TrumpRemarks_test9,0.0144263796657,0.0151133501259,0.0345775131669,"indiana, applaus, happen, got, want, mike, penc, job, get, know, budget, realli, thank, hillari, clinton",0.0208381039615,0.0235859858026,0.0160293107396,0.0,0.0350354934738,1.0,0.737532808399,6.05748796463,0.0153423402794,TrumpRemarks,7,3.75333333333,4,6.18306288553,7,4
74,0.469230769231,0.6157595658,0.651254053339,0.0129411764706,1,TrumpRemarks_test4,0.00117647058824,0.00941176470588,0.00862745098039,"veteran, clinton, care, hillari, polic, employe, will, ensur, email, promis, bonus, safe, mental, get, wait",0.00745098039216,0.0294117647059,0.0309803921569,0.0,0.0317647058824,1.0,0.730769230769,3.76759910583,0.00392156862745,TrumpRemarks,7,6.66,7,6.36720080273,7,7
80,0.592112299465,0.592985412543,0.693002150685,0.000414937759336,2,TrumpRemarks_test0,0.00248962655602,0.00933609958506,0.0126556016598,"will, job, veteran, must, obama, radic, again, isi, thank, dollar, want, look, flag, prosper, spend",0.00912863070539,0.0553941908714,0.0157400023648,0.0,0.0414876413644,1.0,0.847459893048,6.36269903183,0.00539419087137,TrumpRemarks,7,6.32333333333,7,5.25715678516,7,7
82,0.5625,0.662464049827,0.793211560118,0.0,1,TrumpStatements_test1,0.0,0.0194902548726,0.00899550224888,"veteran, marin, dedic, abl, honor, humbl, sacrific, digniti, courag, birthday, strength, should, away, love, defend",0.00299850074963,0.0389805097451,0.0149925037481,0.0,0.0464767616192,1.0,0.78125,1.87109684944,0.0,TrumpStatements,1,4.13,7,4.87609333939,7,2
75,0.297297297297,0.62691696545,0.67074921162,0.00644942294637,1,TrumpRemarks_test11,0.000339443312967,0.0125594025798,0.0234215885947,"job, hillari, clinton, africanamerican, polic, milwauke, crime, insid, let, safe, hurt, vote, want, get, talk",0.0115410726409,0.0247793618466,0.0353021045485,1.0,0.0271554650373,0.0,0.740540540541,4.07994389534,0.0122199592668,TrumpRemarks,7,5.77666666667,7,6.4011056081,7,7
67,0.530434782609,0.649679431277,0.688904287091,0.0158878504673,1,TrumpRemarks_test8,0.000467289719626,0.0088785046729,0.011214953271,"clinton, hillari, job, will, fbi, africanamerican, safe, haiti, email, ask, donor, phone, fail, confidenti, refuge",0.00794392523364,0.0336448598131,0.0224299065421,0.0,0.035046728972,1.0,0.808695652174,3.66939878464,0.00373831775701,TrumpRemarks,7,6.61,7,6.61844122529,7,7
73,0.548780487805,0.645115154096,0.693720897277,0.00651253663302,1,TrumpRemarks_test12,0.00553565613807,0.0104200586128,0.0110713122761,"radic, clinton, hillari, want, terror, terrorist, immigr, know, will, gay, tell, insid, get, better, anyon",0.0100944317812,0.0416802344513,0.0328883099967,1.0,0.0263757733637,0.0,0.829268292683,4.34849715233,0.00195376098991,TrumpRemarks,7,6.0,7,6.59826634463,7,7
78,0.244896708683,0.609304126908,0.635951176063,0.00792612543286,2,TrumpRemarks_test2,0.012389380531,0.0135436706426,0.0430165448249,"inaud, get, know, yes, happen, want, clinton, hillari, question, offmik, think, let, said, ahead, say",0.0241631396691,0.0140053866872,0.0213015680418,0.5,0.0321124813328,0.5,0.744353991597,14.708507061,0.0172373989996,TrumpRemarks,7,5.37333333333,7,5.92522046394,7,7
68,0.384848484848,0.63411487587,0.67162526746,0.00618835815123,1,TrumpRemarks_test7,0.00290079288339,0.0143105782247,0.0266872945272,"will, job, tonight, clinton, hillari, terror, want, enforc, oppon, violenc, happen, illeg, fail, obama, trillion",0.0104428543802,0.0365499903307,0.0259137497583,0.0,0.0371301489074,1.0,0.754545454545,7.15770888329,0.00734867530458,TrumpRemarks,7,5.58,7,7.09602899847,7,7
76,0.458333333333,0.585202574644,0.686321861847,0.0225409836066,1,TrumpRemarks_test3,0.00263466042155,0.00731850117096,0.0149297423888,"clinton, hillari, job, want, worker, radic, rig, isi, will, know, regim, whi, chanc, email, libya",0.00878220140515,0.0292740046838,0.0251756440281,1.0,0.0231264637002,0.0,0.755208333333,4.63815903664,0.00263466042155,TrumpRemarks,7,6.39333333333,7,6.61546064885,7,7
71,0.392857142857,0.653578546958,0.661068289483,0.0158458244111,1,TrumpRemarks_test13,0.0,0.00642398286938,0.00856531049251,"clinton, hillari, want, percent, crime, will, email, scandal, let, obama, safe, enforc, poverti, enterpris, africanamerican",0.00899357601713,0.0295503211991,0.0286937901499,1.0,0.020556745182,0.0,0.684523809524,3.48811006546,0.00599571734475,TrumpRemarks,7,5.94333333333,7,6.46749125909,7,7
